148;118922434RR0001;FONDATION DU CENTRE DE SANTÉ ET DE SERVICES SOCIAUX D'AHUNTSIC ET MONTREAL-NORD
149;118922442RR0001;FONDATION CENTRE HOSPITALIER BEAUCE-ETCHEMIN
150;118922475RR0001;FONDATION DU CENTRE PSYCHO-PEDAGOGIQUE DE QUEBEC INC.
151;118922566RR0001;FONDATION DU COLLEGE UNIVERSITAIRE DOMINICAIN DOMINICAN UNIVERSITY COLLEGE FOUNDATION
152;118922574RR0001;FONDATION DU FOYER DE CHARITÉ
153;118922616RR0001;FONDATION DU GRAND SÉMINAIRE DE MONTRÉAL/FOUNDATION OF THE GRAND SEMINARY OF MONTREAL
154;118922640RR0001;MAIMONIDES HOSPITAL FOUNDATION
155;118922673RR0001;FONDATION DU MUSÉE LOUIS-HÉMON
156;118922830RR0001;FONDATION EMILIE JAURON
157;118922889RR0001;Fondation E.P.I.C.
158;118922939RR0001;FONDATION FÉLIX GOYER
159;118923002RR0001;FONDATION FRÈRE THÉODE INC.
160;118923069RR0001;FONDATION GÉRARD BOSSÉ
161;118923119RR0001;FONDATION G.M.R.
162;118923143RR0001;Fondation de l'institut universitaire en santé mentale de Montréal
163;118923226RR0001;FONDATION HERMAS INC.
164;118923234RR0001;Fondation du CHU de Québec
165;118923242RR0001;FONDATION DE L'INSTITUT UNIVERSITAIRE DE CARDIOLOGIE ET DE PNEUMOLOGIE DE QUÉBEC
166;118923259RR0001;FONDATION DU CENTRE DE SANTÉ ET DE SERVICES SOCIAUX DU HAUT-SAINT-MAURICE INC.
167;118923291RR0001;FONDATION DU CENTRE HOSPITALIER DE VERDUN
168;118923317RR0001;FONDATION HÔTEL-DIEU DE LÉVIS
169;118923333RR0001;FONDATION HOTEL-DIEU DE SOREL
170;118923374RR0001;FONDATION INTERNATIONALE RONCALLI / RONCALLI INTERNATIONAL FOUNDATION
171;118923523RR0001;FONDATION JEAN-MARIE POITRAS
172;118923531RR0001;FONDATION JEANNE-CREVIER INC.
173;118923689RR0001;FONDATION JULES ET PAUL-EMILE LEGER/JULES AND PAUL-EMILE LEGER FOUNDATION
174;118923788RR0001;FONDATION LE BOUCLIER
175;118923812RR0001;FONDATION LE COLLÈGE SAINT-CHARLES-GARNIER DE QUÉBEC
176;118924026RR0001;FONDATION PATRO LE PREVOST INC.
177;118924091RR0001;FONDATION MARIE-VINCENT
178;118924158RR0001;FONDATION HEC MONTRÉAL
179;118924190RR0001;FONDATION MGR. HENRI BELLEAU / MGR. HENRI BELLEAU FOUNDATION
180;118924224RR0001;FONDATION VITAE - VITAE FOUNDATION
181;118924406RR0001;FONDATION PARTAGE CHRÉTIEN
